district,department,tau,yearmonth,treated_4g_dl,treated_4g_meas,treated_4g_time_pct,control_mean_4g_dl,control_mean_4g_meas
Los Olivos,Lima,4,202604,13.451969,139869.0,98.94102,14.165536250000002,168983.75
Los Olivos,Lima,5,202605,13.101505,137270.0,97.57187,13.9132875,172203.75
Puente Piedra,Lima,-12,202412,10.227809,119284.0,93.60822,10.9811206,155588.4
Puente Piedra,Lima,-11,202501,10.933811,109175.0,92.79963,11.0666296,165482.6
Puente Piedra,Lima,-10,202502,11.44663,119615.0,93.86336,10.9538147,155110.0
Puente Piedra,Lima,-9,202503,11.618174,142389.0,93.78581,11.5141622,190236.0
Puente Piedra,Lima,-8,202504,12.964711,145706.0,93.29482,11.6045812,186694.0
Puente Piedra,Lima,-7,202505,13.085265,138963.0,94.11417,11.681581799999998,170420.8
Puente Piedra,Lima,-6,202506,12.449143,149881.0,94.87167,11.56887,157936.4
Puente Piedra,Lima,-5,202507,11.789668,139653.0,95.18742,11.8981964,157835.8
Puente Piedra,Lima,-4,202508,12.171505,134252.0,95.655594,11.9187612,166243.6
Puente Piedra,Lima,-3,202509,12.3390255,91853.0,96.49811,12.165885399999999,138917.0
Puente Piedra,Lima,-2,202510,12.811709,104574.0,97.338005,12.393776599999999,139308.4
Puente Piedra,Lima,-1,202511,12.658836,96503.0,97.00278,12.588173000000001,135771.4
Puente Piedra,Lima,0,202512,13.04161,103928.0,97.47865,13.054832399999999,134086.4
Puente Piedra,Lima,1,202601,13.066684,108392.0,97.98821,13.2525486,135513.6
Puente Piedra,Lima,2,202602,13.604299,115176.0,99.14808,13.3611906,130430.4
Puente Piedra,Lima,3,202603,13.431136,122537.0,99.02365,13.1412678,135607.8
Puente Piedra,Lima,4,202604,13.860408,107915.0,99.07777,13.2792304,118395.6
Puente Piedra,Lima,5,202605,13.007663,121217.0,98.93336,13.3575818,129526.4
Punta Negra,Lima,-12,202404,11.839953,17004.0,91.57061,11.6636802,23040.2
Punta Negra,Lima,-11,202405,11.355698,11113.0,91.62767,12.410003800000002,21805.6
Punta Negra,Lima,-10,202406,11.115817,9007.0,87.4028,12.087992,18484.8
Punta Negra,Lima,-9,202407,10.270212,8299.0,80.12026,12.222463600000001,18794.6
Punta Negra,Lima,-8,202408,9.59859,11633.0,90.334656,11.589142,16843.6
Punta Negra,Lima,-7,202409,9.538442,7022.0,86.9241,11.9835696,18768.0
Punta Negra,Lima,-6,202410,11.394876,7005.0,82.86992,11.046629200000002,21756.8
Punta Negra,Lima,-5,202411,10.6945915,7470.0,86.73031,11.490415299999999,21082.8
Punta Negra,Lima,-4,202412,10.210629,5143.0,88.48272,10.3854216,18905.2
Punta Negra,Lima,-3,202501,11.351161,7370.0,83.02528,10.6968684,21061.4
Punta Negra,Lima,-2,202502,11.628479,5826.0,89.98746,11.3361558,18279.0
Punta Negra,Lima,-1,202503,12.23936,12495.0,91.46665,11.388842,17231.2
Punta Negra,Lima,0,202504,11.016806,13116.0,96.11951,12.261717200000001,16271.6
Punta Negra,Lima,1,202505,11.744999,11913.0,96.99751,11.979083999999999,13239.8
Punta Negra,Lima,2,202506,13.318779,10014.0,96.51908,12.6139988,11876.6
Punta Negra,Lima,3,202507,13.191428,8819.0,98.60885,12.102707800000001,14673.4
Punta Negra,Lima,4,202508,11.794946,8117.0,98.40253,12.1651771,15834.8
Punta Negra,Lima,5,202509,13.077458,8118.0,97.35392,13.072012400000002,16230.0
Punta Negra,Lima,6,202510,12.958804,6562.0,97.39336,12.9238978,15547.6
Punta Negra,Lima,7,202511,13.48116,3818.0,96.939384,12.2555708,13175.8
Punta Negra,Lima,8,202512,15.415294,8259.0,95.89554,12.391172999999998,14374.6
Punta Negra,Lima,9,202601,13.755589,10266.0,95.65798,11.6871932,14744.8
Punta Negra,Lima,10,202602,11.603345,9628.0,95.70029,11.4095746,13363.4
Punta Negra,Lima,11,202603,13.954694,8781.0,93.95445,12.430846899999999,12672.4
Punta Negra,Lima,12,202604,16.884764,6873.0,95.87491,12.0135568,12732.6
San Juan De Lurigancho,Lima,-12,202412,11.710612,380828.0,91.7117,10.845589,221505.2
San Juan De Lurigancho,Lima,-11,202501,11.922621,354600.0,91.50274,11.123194,233087.0
San Juan De Lurigancho,Lima,-10,202502,11.602243,316653.0,90.820366,10.7699445,214064.0
San Juan De Lurigancho,Lima,-9,202503,12.233986,378950.0,91.89037,11.1615882,253913.2
San Juan De Lurigancho,Lima,-8,202504,12.25904,380570.0,92.08656,11.155708,247048.8
San Juan De Lurigancho,Lima,-7,202505,12.345034,412689.0,93.120125,11.244060600000001,235321.6
San Juan De Lurigancho,Lima,-6,202506,12.445245,393408.0,92.62704,11.257027,220575.4
San Juan De Lurigancho,Lima,-5,202507,12.667829,414207.0,93.8054,11.607833399999999,218309.0
San Juan De Lurigancho,Lima,-4,202508,12.4999,394715.0,94.55042,11.9759834,227850.6
San Juan De Lurigancho,Lima,-3,202509,12.690415,352872.0,95.51906,12.1102834,194605.0
San Juan De Lurigancho,Lima,-2,202510,13.2051325,352109.0,95.894325,11.9387668,195710.4
San Juan De Lurigancho,Lima,-1,202511,12.751473,331382.0,95.89712,12.098127799999999,185065.0
San Juan De Lurigancho,Lima,0,202512,12.714674,350234.0,95.797874,12.503811599999999,184190.8
San Juan De Lurigancho,Lima,1,202601,12.962142,354185.0,96.653984,12.733460399999998,184618.2
San Juan De Lurigancho,Lima,2,202602,12.794425,326514.0,97.57019,12.8324578,173440.2
San Juan De Lurigancho,Lima,3,202603,12.645661,317983.0,97.615204,12.8550662,186849.4
San Juan De Lurigancho,Lima,4,202604,12.928205,258498.0,97.20646,12.9260934,158114.8
San Juan De Lurigancho,Lima,5,202605,13.332845,253660.0,97.51667,13.0854534,166850.6
San Martin De Porres,Lima,-12,202412,11.022257,271318.0,90.49209,10.975450666666667,282818.6666666667
San Martin De Porres,Lima,-11,202501,11.501289,313075.0,90.3526,11.275063666666666,294918.3333333333
San Martin De Porres,Lima,-10,202502,10.967699,279887.0,90.52797,10.900453166666667,271114.0
San Martin De Porres,Lima,-9,202503,11.721023,302173.0,91.24608,11.071931,319625.6666666667
San Martin De Porres,Lima,-8,202504,12.106983,304633.0,91.69368,11.182933,313941.0
San Martin De Porres,Lima,-7,202505,12.671806,314475.0,93.10811,11.359642000000001,295439.0
San Martin De Porres,Lima,-6,202506,12.750406,281355.0,93.44868,11.488209666666668,280872.0
San Martin De Porres,Lima,-5,202507,12.85539,284746.0,93.469986,11.965677999999999,277252.3333333333
San Martin De Porres,Lima,-4,202508,12.529801,324432.0,94.50055,12.31582,291626.6666666667
San Martin De Porres,Lima,-3,202509,12.8697815,290135.0,94.685745,12.296358333333336,239893.66666666666
San Martin De Porres,Lima,-2,202510,13.037471,278864.0,95.022964,12.436740666666665,241190.0
San Martin De Porres,Lima,-1,202511,13.046813,285675.0,95.825005,12.563574333333333,230980.33333333334
San Martin De Porres,Lima,0,202512,13.162756,275938.0,96.19902,13.141926666666665,235456.0
San Martin De Porres,Lima,1,202601,13.044672,256894.0,97.14644,13.025649999999999,229936.66666666666
San Martin De Porres,Lima,2,202602,13.135483,234214.0,98.43932,12.930841000000001,216511.33333333334
San Martin De Porres,Lima,3,202603,13.293515,287123.0,98.41966,13.103884333333333,235045.33333333334
San Martin De Porres,Lima,4,202604,13.402466,244540.0,98.66371,13.054136999999999,197576.33333333334
San Martin De Porres,Lima,5,202605,13.022157,286187.0,98.06467,13.172640666666666,213675.66666666666
Sayan,Lima,-12,202502,6.837822,9638.0,68.83036,9.35289726,18058.4
Sayan,Lima,-11,202503,7.055687,10528.0,70.98328,8.73892012,20649.6
Sayan,Lima,-10,202504,9.653316,8373.0,58.76642,8.67413736,20154.6
Sayan,Lima,-9,202505,7.610027,7991.0,61.13764,9.355895499999999,19511.6
Sayan,Lima,-8,202506,7.459963,9419.0,64.87454,9.4166124,18583.2
Sayan,Lima,-7,202507,6.808589,6600.0,63.025402,8.72638872,19519.0
Sayan,Lima,-6,202508,8.044084,5815.0,67.992714,9.538265120000002,22101.6
Sayan,Lima,-5,202509,9.269219,7903.0,72.37137,8.543984,15714.4
Sayan,Lima,-4,202510,9.834018,7753.0,72.556786,9.292336,16967.4
Sayan,Lima,-3,202511,8.343919,6507.0,63.75745,9.914292499999998,15916.6
