group,district_key,breakpoint,first_5g_yearmonth,relative_month,class
controls_used,AREQUIPA|CAMANA|SAMUEL PASTOR,202412,,,never
controls_used,LIMA|LIMA|LURIN,202412,,,never
controls_used,LIMA|HUAURA|HUACHO,202412,,,never
controls_used,ICA|PISCO|PISCO,202412,,,never
controls_used,LIMA|LIMA|PUEBLO LIBRE,202412,202603.0,15.0,5g_after_window
controls_used,LIMA|LIMA|ANCON,202412,,,never
controls_used,MOQUEGUA|ILO|ILO,202412,,,never
controls_used,LIMA|HUAURA|HUAURA,202412,,,never
controls_used,LIMA|HUAURA|HUALMAY,202412,,,never
controls_used,LIMA|LIMA|SURQUILLO,202511,202509.0,-2.0,5g_before_bp
controls_used,LA LIBERTAD|ASCOPE|CHICAMA,202511,,,never
controls_used,LIMA|LIMA|CIENEGUILLA,202511,,,never
controls_used,LIMA|LIMA|MIRAFLORES,202511,202512.0,1.0,5g_in_post_window
controls_used,LIMA|LIMA|MIRAFLORES,202512,202512.0,0.0,5g_in_post_window
controls_used,LIMA|LIMA|SURQUILLO,202512,202509.0,-3.0,5g_before_bp
controls_used,LIMA|LIMA|SAN BORJA,202512,202403.0,-21.0,5g_before_bp
controls_used,PIURA|TALARA|PARIÑAS,202512,,,never
controls_used,LIMA|BARRANCA|BARRANCA,202512,,,never
controls_used,LIMA|LIMA|LA MOLINA,202512,202604.0,4.0,5g_in_post_window
controls_used,LIMA|LIMA|SANTIAGO DE SURCO,202512,202403.0,-21.0,5g_before_bp
controls_used,LIMA|LIMA|CHORRILLOS,202512,202603.0,3.0,5g_in_post_window
controls_used,CALLAO|CALLAO|VENTANILLA,202512,,,never
controls_used,LIMA|LIMA|ATE,202512,202604.0,4.0,5g_in_post_window
controls_used,ANCASH|SANTA|CHIMBOTE,202512,,,never
controls_used,LIMA|CAÑETE|CERRO AZUL,202504,,,never
controls_used,ICA|PISCO|PARACAS,202504,,,never
controls_used,TUMBES|CONTRALMIRANTE VILLAR|CANOAS DE PUNTA SAL,202504,,,never
controls_used,ICA|PISCO|SAN ANDRES,202504,,,never
controls_used,TACNA|TACNA|SAMA,202504,,,never
controls_used,LIMA|LIMA|VILLA EL SALVADOR,202512,,,never
controls_used,TACNA|TACNA|SAMA,202512,,,never
controls_used,ANCASH|HUARMEY|HUARMEY,202512,,,never
controls_used,AREQUIPA|ISLAY|MOLLENDO,202512,,,never
controls_used,LA LIBERTAD|ASCOPE|CHICAMA,202512,,,never
controls_used,LIMA|CAÑETE|QUILMANA,202512,,,never
controls_used,ANCASH|HUARMEY|HUARMEY,202510,,,never
controls_used,AREQUIPA|ISLAY|MOLLENDO,202510,,,never
controls_used,LA LIBERTAD|PACASMAYO|PACASMAYO,202510,,,never
controls_used,LIMA|HUARAL|CHANCAY,202510,,,never
controls_used,LIMA|CAÑETE|QUILMANA,202510,,,never
controls_used,LA LIBERTAD|PACASMAYO|PACASMAYO,202512,,,never
controls_used,LIMA|HUARAL|CHANCAY,202512,,,never
controls_used,TACNA|TACNA|CIUDAD NUEVA,202602,,,never
controls_used,ICA|ICA|SALAS,202602,,,never
controls_used,TACNA|TACNA|ALTO DE LA ALIANZA,202602,,,never
controls_used,ICA|ICA|SANTIAGO,202602,,,never
controls_used,LIMA|HUARAL|AUCALLAMA,202602,,,never
controls_used,LA LIBERTAD|VIRU|VIRU,202411,,,never
controls_used,PIURA|PAITA|PAITA,202411,,,never
controls_used,LIMA|CAÑETE|SAN VICENTE DE CAÑETE,202411,,,never
controls_used,LA LIBERTAD|PACASMAYO|GUADALUPE,202411,,,never
controls_used,LIMA|CAÑETE|IMPERIAL,202411,,,never
controls_used,PIURA|SULLANA|SULLANA,202412,,,never
controls_used,PIURA|PAITA|PAITA,202412,,,never
controls_used,CUSCO|CANCHIS|SICUANI,202511,,,never
controls_used,HUANCAVELICA|HUANCAVELICA|HUANCAVELICA,202511,,,never
controls_used,ANCASH|HUARAZ|HUARAZ,202511,,,never
controls_used,ANCASH|HUARAZ|INDEPENDENCIA,202511,,,never
controls_used,LA LIBERTAD|SANCHEZ CARRION|HUAMACHUCO,202511,,,never
controls_used,HUANCAVELICA|HUANCAVELICA|HUANCAVELICA,202601,,,never
controls_used,AREQUIPA|CASTILLA|ORCOPAMPA,202601,,,never
controls_used,CUSCO|CANCHIS|SICUANI,202601,,,never
controls_used,CUSCO|ANTA|ANTA,202601,,,never
controls_used,LA LIBERTAD|SANCHEZ CARRION|HUAMACHUCO,202601,,,never
controls_used,HUANCAVELICA|HUANCAVELICA|HUANCAVELICA,202602,,,never
controls_used,CUSCO|CANCHIS|SICUANI,202602,,,never
controls_used,AREQUIPA|CASTILLA|ORCOPAMPA,202602,,,never
