department,province,district,yearmonth,category
Arequipa,Arequipa,Mariano Melgar,202504,empty_field
Arequipa,Arequipa,Mariano Melgar,202505,empty_field
Arequipa,Arequipa,Mariano Melgar,202506,empty_field
Arequipa,Arequipa,Mariano Melgar,202507,empty_field
Arequipa,Arequipa,Mariano Melgar,202508,empty_field
Arequipa,Arequipa,Mariano Melgar,202509,empty_field
Arequipa,Arequipa,Mariano Melgar,202510,empty_field
Arequipa,Arequipa,Mariano Melgar,202511,empty_field
Arequipa,Arequipa,Mariano Melgar,202512,empty_field
Arequipa,Arequipa,Mariano Melgar,202601,empty_field
Arequipa,Arequipa,Mariano Melgar,202602,empty_field
Arequipa,Arequipa,Mariano Melgar,202603,empty_field
Arequipa,Arequipa,Mariano Melgar,202604,empty_field
Arequipa,Arequipa,Mariano Melgar,202605,empty_field
Arequipa,Arequipa,Miraflores,202411,empty_field
Arequipa,Arequipa,Miraflores,202412,empty_field
Arequipa,Arequipa,Miraflores,202501,empty_field
Arequipa,Arequipa,Miraflores,202502,empty_field
Arequipa,Arequipa,Miraflores,202503,empty_field
Arequipa,Arequipa,Miraflores,202504,empty_field
Arequipa,Arequipa,Miraflores,202505,empty_field
Arequipa,Arequipa,Miraflores,202506,empty_field
Arequipa,Arequipa,Miraflores,202507,empty_field
Arequipa,Arequipa,Miraflores,202508,empty_field
Arequipa,Arequipa,Miraflores,202509,empty_field
Arequipa,Arequipa,Miraflores,202510,empty_field
Arequipa,Arequipa,Miraflores,202511,empty_field
Arequipa,Arequipa,Miraflores,202512,empty_field
Arequipa,Arequipa,Miraflores,202601,empty_field
Arequipa,Arequipa,Miraflores,202602,empty_field
Arequipa,Arequipa,Miraflores,202603,empty_field
Arequipa,Arequipa,Miraflores,202604,empty_field
Arequipa,Arequipa,Miraflores,202605,empty_field
Arequipa,Arequipa,Paucarpata,202411,empty_field
Arequipa,Arequipa,Paucarpata,202412,empty_field
Arequipa,Arequipa,Paucarpata,202501,empty_field
Arequipa,Arequipa,Paucarpata,202502,empty_field
Arequipa,Arequipa,Paucarpata,202503,empty_field
Arequipa,Arequipa,Paucarpata,202504,empty_field
Arequipa,Arequipa,Paucarpata,202505,empty_field
Arequipa,Arequipa,Paucarpata,202506,empty_field
Arequipa,Arequipa,Paucarpata,202507,empty_field
Arequipa,Arequipa,Paucarpata,202508,empty_field
Arequipa,Arequipa,Paucarpata,202509,empty_field
Arequipa,Arequipa,Paucarpata,202510,empty_field
Arequipa,Arequipa,Paucarpata,202511,empty_field
Arequipa,Arequipa,Paucarpata,202512,empty_field
Arequipa,Arequipa,Paucarpata,202601,empty_field
Arequipa,Arequipa,Paucarpata,202602,empty_field
Arequipa,Arequipa,Paucarpata,202603,empty_field
