outcome,department,province,district,breakpoint_yearmonth,delta_treated,delta_control_mean,did,n_controls,has_5g_post
latency,Ica,Ica,Ica,202510,-3.910740833333321,-3.3262622999999976,-0.5844785333333236,5,False
latency,Ica,Ica,La Tinguiña,202508,-5.82403466666667,-5.229589333333324,-0.5944453333333453,5,False
latency,Ica,Ica,Parcona,202510,-4.808471999999995,-1.2014422999999979,-3.607029699999997,5,False
latency,Ica,Ica,Subtanjalla,202507,-6.081494333333325,-5.830960366666666,-0.2505339666666586,5,False
latency,Junin,Huancayo,Chilca,202501,-10.586634999999994,-9.444491055555558,-1.1421439444444363,3,False
latency,Junin,Huancayo,El Tambo,202501,-10.885680999999998,-8.139693666666668,-2.7459873333333302,3,False
latency,Junin,Huancayo,Huancayo,202501,-11.511296833333326,-8.486342833333344,-3.0249539999999815,3,False
latency,Junin,Huancayo,Pilcomayo,202501,-9.99121233333333,-8.522240699999998,-1.4689716333333322,5,False
latency,Junin,Huancayo,San Agustin,202412,-12.971449666666665,-8.890067500000004,-4.0813821666666605,5,False
latency,La Libertad,Trujillo,El Porvenir,202412,-12.301125666666664,-12.545317933333326,0.24419226666666205,5,False
latency,La Libertad,Trujillo,La Esperanza,202412,-15.373568333333331,-12.712271299999994,-2.6612970333333372,5,False
latency,La Libertad,Trujillo,Moche,202412,-11.847238499999996,-12.188056400000004,0.3408179000000082,5,False
latency,La Libertad,Trujillo,Trujillo,202412,-14.218576166666658,-13.351042666666666,-0.8675334999999915,5,False
latency,La Libertad,Trujillo,Victor Larco Herrera,202412,-14.314475000000002,-11.647161999999998,-2.6673130000000036,5,False
latency,Lambayeque,Chiclayo,Chiclayo,202412,-12.962469500000012,-13.149302766666661,0.18683326666664968,5,False
latency,Lambayeque,Chiclayo,Jose Leonardo Ortiz,202412,-13.041133166666661,-12.318807299999994,-0.722325866666667,5,False
latency,Lambayeque,Chiclayo,La Victoria,202412,-13.018549833333331,-12.386076766666664,-0.6324730666666678,5,False
latency,Lambayeque,Chiclayo,Pimentel,202412,-13.73649750000002,-12.414252600000001,-1.322244900000019,5,False
latency,Lima,Cañete,Asia,202512,-0.5572911666666656,-1.090409499999994,0.5331183333333285,5,True
latency,Lima,Cañete,Chilca,202510,-6.863706166666667,-4.021892599999996,-2.841813566666671,5,False
latency,Lima,Cañete,Mala,202512,-1.6920148333333316,-1.741187066666663,0.04917223333333132,5,True
