department,province,district,carrier,breakpoint_yearmonth,months_pre,months_post,pre6_4g_download_mbps,post6_4g_download_mbps,delta_4g_download_mbps,pct_4g_download_upgrade,pre6_4g_upload_mbps,post6_4g_upload_mbps,delta_4g_upload_mbps,pct_4g_upload_upgrade,pre6_4g_latency_ms,post6_4g_latency_ms,delta_4g_latency_ms,pct_4g_latency_improvement,pre6_4g_time_pct,post6_4g_time_pct,delta_4g_time_pp,pre6_4g_packet_loss_pct,post6_4g_packet_loss_pct,delta_4g_packet_loss_pp,pct_4g_packet_loss_improvement,composite_upgrade_score,pre6_4g_download_measurements,post6_4g_download_measurements,pre6_4g_download_mbps_weighted,post6_4g_download_mbps_weighted,delta_4g_download_mbps_weighted,last_yearmonth_available,ubigeo,shape_department,shape_province,shape_district,region3,altitud_m,poblacion_distrito
Ica,Chincha,Chincha Baja,MOVISTAR,202406,17,26,10.00908875,10.992088333333333,0.9829995833333331,0.09821069708601926,3.64915555,3.4261737166666664,-0.22298183333333377,-0.0611050502720647,78.14256833333333,87.75346250000001,9.610894166666682,-0.10952153787284102,88.86446083333334,92.6710115,3.8065506666666664,1.0236023516666666,0.8099837833333333,-0.21361856833333326,0.2637319076367515,0.02163455820722532,11855.666666666666,18475.5,10.111905074690021,10.96300917690094,0.8511041022109183,202607,110204,ICA,CHINCHA,CHINCHA BAJA,Costa,44,13009
Ica,Chincha,El Carmen,MOVISTAR,202406,17,26,11.546361166666665,13.168057750000001,1.6216965833333354,0.1404508797122188,2.575787116666667,2.0534870166666668,-0.5223001000000003,-0.20277300737333848,75.20956249999999,87.477661,12.268098500000008,-0.14024264434779532,90.31981750000001,85.44532499999998,-4.874492500000031,0.6022219766666667,0.45825439166666665,-0.143967585,0.3141652052179824,-0.0008997387971629994,15230.333333333334,11170.5,11.564420352399814,13.469807577100397,1.9053872247005827,202607,110205,ICA,CHINCHA,EL CARMEN,Costa,160,12369
Ica,Chincha,Pueblo Nuevo,MOVISTAR,202406,17,26,10.356843666666668,10.706406999999999,0.34956333333333056,0.0337519175324037,3.3656810000000004,3.6328552166666666,0.2671742166666662,0.07938191904303049,75.47131766666666,84.54475749999999,9.073439833333325,-0.10732114091560707,95.66406899999998,97.00724266666667,1.3431736666666865,0.53864829,0.432815565,-0.10583272500000002,0.2445215319370504,0.012818606737366836,54922.833333333336,43425.333333333336,10.37329051361759,10.734865106899965,0.3615745932823753,202607,110207,ICA,CHINCHA,PUEBLO NUEVO,Costa,146,62604
Ica,Chincha,Sunampe,MOVISTAR,202405,16,27,11.976406666666668,12.109427666666667,0.1330209999999994,0.011106920773676698,3.6512733,3.7206608333333335,0.06938753333333336,0.01900365369344814,72.27534100000001,83.06518799999999,10.78984699999998,-0.12989613651389054,95.82054333333332,97.65925016666667,1.8387068333333474,0.5491254133333334,0.34092944499999994,-0.20819596833333348,0.6106717134195714,0.008110928155993857,47746.0,40675.166666666664,12.017000531719933,12.145592697690239,0.12859216597030532,202607,110210,ICA,CHINCHA,SUNAMPE,Costa,94,29079
Junin,Huancayo,Huancayo,MOVISTAR,202501,24,19,8.915837833333333,10.321927666666667,1.4060898333333345,0.15770697713639836,3.0452356333333337,3.119348783333333,0.07411314999999918,0.02433741060585004,68.731129,57.21983216666667,-11.511296833333326,0.2011766969152211,95.62662166666667,96.79002166666668,1.16340000000001,0.6619327733333333,0.4274653400000001,-0.23446743333333325,0.5485063030685322,0.14619799182766877,192784.0,170906.5,8.909351386338251,10.309435289344368,1.4000839030061165,202607,120101,JUNIN,HUANCAYO,HUANCAYO,Sierra,3294,119993
Junin,Huancayo,Chilca,MOVISTAR,202501,24,19,7.4819576,8.4890329,1.0070752999999995,0.13460050882940044,2.8400245833333333,2.986250216666667,0.1462256333333336,0.05148745338031846,71.00034566666666,60.41371066666667,-10.586634999999994,0.17523563580479062,90.913341,94.58410833333333,3.6707673333333304,1.0079748566666666,0.7325571883333333,-0.27541766833333337,0.37596746400092784,0.129676754690052,60643.833333333336,60314.0,7.481087317891074,8.518574294872943,1.037486976981869,202607,120107,JUNIN,HUANCAYO,CHILCA,Sierra,3273,91851
Junin,Huancayo,El Tambo,MOVISTAR,202501,24,19,9.784827083333333,10.857101833333333,1.07227475,0.1095854572459869,3.091411566666667,3.070485533333333,-0.02092603333333365,-0.006769086833655513,68.1697405,57.284059500000005,-10.885680999999998,0.1900298459120202,95.1164015,96.305895,1.1894935000000117,0.6366962933333333,0.33487020500000003,-0.3018260883333333,0.9013226134386405,0.13717665227328352,203384.66666666666,228003.16666666666,9.795991987615421,10.86942884578211,1.0734368581666889,202607,120114,JUNIN,HUANCAYO,EL TAMBO,Sierra,3305,166359
Junin,Huancayo,Pilcomayo,MOVISTAR,202501,24,19,7.782396366666666,8.693143333333333,0.9107469666666672,0.11702654603504281,3.1047868333333333,2.6999480333333334,-0.40483879999999983,-0.13039181809636846,69.88353283333333,59.892320500000004,-9.99121233333333,0.16681958972241406,94.11217333333333,95.84262183333334,1.7304485000000085,0.8612200400000001,0.6382506583333333,-0.2229693816666668,0.3493445384747549,0.08901964280390312,20408.0,15911.5,7.90062259789135,8.711055381977395,0.8104327840860455,202607,120125,JUNIN,HUANCAYO,PILCOMAYO,Sierra,3244,20055
Junin,Huancayo,San Agustin,MOVISTAR,202412,23,20,9.238827833333334,8.720551016666667,-0.5182768166666669,-0.05609768100632251,3.5955737000000005,3.2962461500000004,-0.2993275500000001,-0.08324889849984163,69.54132633333333,56.569876666666666,-12.971449666666665,0.2292995924862955,95.32714566666665,97.09711666666665,1.7699709999999982,0.751760535,0.4942571216666667,-0.25750341333333326,0.5209908002236068,0.051102987455248966,27415.333333333332,22586.833333333332,9.21906003358826,8.663764572647782,-0.5552954609404779,202607,120129,JUNIN,HUANCAYO,SAN AGUSTIN,Sierra,3297,15281
Junin,Yauli,La Oroya,MOVISTAR,202607,42,1,12.501653249999999,12.242897,-0.25875624999999935,-0.02069776251392985,2.7686581166666673,3.0115445,0.24288638333333257,0.08772711295454427,52.109389666666665,54.837353,2.727963333333335,-0.04974644442326259,82.78869316666666,90.538345,7.7496518333333455,0.702072995,0.79209495,0.09002195499999999,-0.11365045945564989,-0.0016146943909884246,10409.5,6666.0,12.575615630201577,12.242896999999997,-0.33271863020157966,202607,120801,JUNIN,YAULI,LA OROYA,Sierra,3757,14021
